song,artist,first_no1_date,year,decade,weeks_at_number_one,length_sec,length_mmss,intro_length_sec,under_3_min
Poor Little Fool,Ricky Nelson,1958-08-04,1958,1950,2,154,2:34,12,1
Nel Blu Dipinto Di Blu,Domenico Modugno,1958-08-18,1958,1950,5,219,3:39,40,0
Little Star,The Elegants,1958-08-25,1958,1950,1,163,2:43,10,1
It's All in the Game,Tommy Edwards,1958-09-29,1958,1950,6,156,2:36,3,1
It's Only Make Believe,Conway Twitty,1958-11-10,1958,1950,2,134,2:14,24,1
Tom Dooley,The Kingston Trio,1958-11-17,1958,1950,1,185,3:05,31,0
To Know Him is to Love Him,The Teddy Bears,1958-12-01,1958,1950,3,142,2:22,8,1
The Chipmunk Song,The Chipmunks,1958-12-22,1958,1950,4,141,2:21,19,1
Smoke Gets in Your Eyes,The Platters,1959-01-19,1959,1950,3,158,2:38,8,1
Stagger Lee,Lloyd Price,1959-02-02,1959,1950,4,145,2:25,13,1
Venus,Frankie Avalon,1959-03-09,1959,1950,5,142,2:22,16,1
Come Softly to Me,The Fleetwoods,1959-04-13,1959,1950,4,145,2:25,15,1
The Happy Organ,"Dave ""Baby"" Cortez",1959-05-11,1959,1950,1,122,2:02,5,1
Kansas City,Wilbert Harrison,1959-05-18,1959,1950,2,145,2:25,7,1
The Battle of New Orleans,Johnny Horton,1959-06-01,1959,1950,6,151,2:31,8,1
Lonely Boy,Paul Anka,1959-07-13,1959,1950,4,151,2:31,6,1
Big Hunk o' Love,Elvis Presley,1959-08-10,1959,1950,2,141,2:21,4,1
The Three Bells (Les Trois Cloches),The Browns,1959-08-24,1959,1950,4,174,2:54,19,1
Sleep Walk,Santo & Johnny,1959-09-21,1959,1950,2,151,2:31,16,1
Mack the Knife,Bobby Darin,1959-10-05,1959,1950,9,184,3:04,6,0
Mr. Blue,The Fleetwoods,1959-11-16,1959,1950,1,145,2:25,34,1
Heartaches by the Number,Guy Mitchell,1959-12-14,1959,1950,2,155,2:35,13,1
Why,Frankie Avalon,1959-12-28,1959,1950,1,158,2:38,9,1
El Paso,Marty Robbins,1960-01-04,1960,1960,2,259,4:19,8,0
Running Bear,Johnny Preston,1960-01-18,1960,1960,3,158,2:38,4,1
